Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Avg_Residancy_Altitude,Will_vote_only_large_party,Financial_agenda_matters,Most_Important_Issue_0.0,Most_Important_Issue_3.0,Most_Important_Issue_5.0,Most_Important_Issue_6.0,IdentityCard_Num
2.29346764502,0.943246282368,1.49448220658,-0.899969297873,1,1,0.0,0.0,1.0,0.0,1
-0.676125710049,-0.243506814225,0.50047741676,-0.751687624923,1,-1,1.0,0.0,0.0,0.0,2
-0.619124243217,-0.245266434576,-0.693913870152,-0.107542599576,1,-1,1.0,0.0,0.0,0.0,3
0.780047537085,-0.285784470735,1.05753425159,1.06005582375,-1,1,1.0,0.0,0.0,0.0,4
0.630553023053,0.0204727860588,-0.170792849439,-0.869482321761,1,-1,1.0,0.0,0.0,0.0,5
1.64813202092,-0.243557696338,1.35911689788,-0.477153411781,1,1,0.0,0.0,1.0,0.0,6
0.145850976362,0.213938603878,0.537773815757,-0.622728740473,1,-1,1.0,0.0,0.0,0.0,7
0.667064588213,0.338396559763,-0.0073177251964,0.894249197732,1,-1,1.0,0.0,0.0,0.0,8
0.0352226661292,0.398930474484,0.62058020047,-0.910561086459,1,-1,1.0,0.0,0.0,0.0,9
-0.542253303007,0.511278390631,1.0588001842,-0.595726457881,1,-1,1.0,0.0,0.0,0.0,10
-0.600784108296,-0.227270453807,0.484558702937,-0.827429117129,1,-1,1.0,0.0,0.0,0.0,11
2.52086556963,1.94055232697,1.91649797003,-0.577407562396,1,1,0.0,0.0,0.0,1.0,12
-0.958225322687,0.0150086197295,-0.391096973696,-0.54308293609,1,-1,1.0,0.0,0.0,0.0,13
-0.646236809503,-1.60118746402,-2.36085442485,1.4747652879,-1,-1,1.0,0.0,0.0,0.0,14
-0.694311317429,-0.25895478373,-0.493568894758,-1.03752601749,1,-1,1.0,0.0,0.0,0.0,15
-0.520859242933,0.635828703899,1.14026933905,-0.387294187023,1,-1,1.0,0.0,0.0,0.0,16
-0.335017564224,0.118101276895,-0.197111303218,-0.676933401568,1,-1,1.0,0.0,0.0,0.0,17
0.392449065507,0.646025687277,1.15879574982,-1.29516474897,-1,1,1.0,0.0,0.0,0.0,18
-0.233445265175,-0.024840243349,0.930524172998,0.625586642926,1,-1,1.0,0.0,0.0,0.0,19
-0.496149633867,0.07170236856,-0.195403175516,-0.0687322266811,1,-1,1.0,0.0,0.0,0.0,20
0.493755387875,0.159966412974,0.0305377718836,-0.741783774478,1,-1,1.0,0.0,0.0,0.0,21
-0.414773022151,0.770578144673,1.10151249524,-0.87509208191,1,-1,1.0,0.0,0.0,0.0,22
-0.0904912718998,0.00687510407497,0.332416508953,-0.723719545002,1,-1,1.0,0.0,0.0,0.0,23
-0.543516193344,0.567449555996,1.12962883782,0.447654878351,1,-1,1.0,0.0,0.0,0.0,24
-0.667366065146,-0.218590474504,0.502024737063,-0.989111345001,1,-1,1.0,0.0,0.0,0.0,25
-0.233069212786,0.0677170889986,0.229409271501,-0.533176869163,1,-1,1.0,0.0,0.0,0.0,26
-0.438953148748,-0.115292517106,-0.21361451287,0.62349936106,1,-1,1.0,0.0,0.0,0.0,27
-0.702402260292,-0.183566436525,-0.236180386836,-0.366786463089,1,-1,1.0,0.0,0.0,0.0,28
1.15196000627,-0.347286603267,1.59584115885,0.899914075319,1,1,0.0,0.0,1.0,0.0,29
-0.460293271746,0.0628856601349,-0.406701820604,-0.953749882005,1,-1,1.0,0.0,0.0,0.0,30
0.0608314596412,-0.145017035039,0.724104015596,-1.00053672476,1,-1,1.0,0.0,0.0,0.0,31
-0.222575128615,-0.0328704542819,0.152707453832,0.717473593405,1,-1,1.0,0.0,0.0,0.0,32
0.774178778985,0.383221773517,0.072436647681,0.290672079247,1,-1,1.0,0.0,0.0,0.0,33
2.47373692037,1.50747474516,1.31649303536,0.679804040589,1,1,0.0,0.0,0.0,1.0,34
2.51195320013,2.00139050048,1.86680348686,0.591015716009,1,1,0.0,0.0,1.0,0.0,35
